,title,location,predict_category
9676,GTM Recruiter (AI),US,marketing
9677,"Senior Manager, Revenue Systems (AI)",US,management
9678,3D Programmer (GameDev),Canada,development
9679,Gulf Arabic/Bahraini Language Specialist (AI),UK,Other
9680,Physics Programmer (Gamedev),Canada,Other
9681,Инженер по нагрузочному тестированию,Russia,qa
9682,Tool Programmer (Gamedev),Canada,development
9683,Frontend Developer (Vue.js),Russia,development
9684,Software Engineer II,UK,development
9685,Solutions Specialist (SaaS),Philippines,management
9686,Staff Software Engineer (AI),US,development
9687,Production Director (Gamedev),US,management
9688,Sr. Embedded SDE (IoT Hardware),Poland,development
9689,University Recruiter,Germany,Other
9690,Staff Systems Engineer (Identity),US,development
9691,IT Operations Engineer,Russia,devops
9692,Staff Systems Engineer,US,development
9693,Software Engineer (AI),UK,development
9694,Salesforce Developer (Consumer Goods Cloud),France,development
9695,AI Launch Engineer (AI),US,development
9696,Commercial Account Manager (AI),UK,management
9697,Commercial Account Manager,Netherlands,management
9698,Senior Project Manager (Gamedev),Cyprus,management
9699,"Founding Engineer (FullStack, Web3)",UAE,development
9700,HR Specialist,Cyprus,Other
9701,Customer Success Manager (AI),Japan,management
9702,Senior QA Engineer (Mobile),,qa
9703,IT Automation Specialist,,devops
9704,Team Lead Infrastructure (DevOps),,devops
9705,GPU/ML Engineer (AI),,development
9706,Менеджер по контенту и работе с блогерами,Russia,marketing
9707,Staff Software Developer (JVM),US,development
9708,Graphic Designer (Web3),,design
9709,Литературный редактор (Бизнес),Russia,Other
9710,Редактор,,Other
9711,Senior Devsecops Engineer,Spain,qa
9712,Руководитель направления оптовых продаж (FMCG),Russia,management
9713,Руководитель отдела событийного маркетинга,Russia,marketing
9714,Head of Content (Reels/TikTok),,marketing
9715,QA Engineer (Python),Russia,qa
9716,HR Director (AI),Russia,Other
9717,QA Full Stack Engineer (Growth),Cyprus,qa
9718,Business Development Manager (Creative Agency),UK,management
9719,2D-Аниматор,,design
9720,Руководитель юридической группы,Russia,management
9721,Customer Success Engineer (SaaS),US,management
9722,Multimedia Designer (Elearning),US,development
9723,Forward-Deployed Product Manager (AI),US,management
9724,Python Developer,Kazakhstan,development
9725,Frontend Software Engineer (React),US,development
9726,Business Development Manager (Cybersecurity),Cyprus,management
9727,Контент-маркетолог,Russia,marketing
9728,CRM Data Operations Team Leader,Bulgaria,management
9729,Junior Python Developer (FastAPI),,development
9730,Surfacing/Texture Artist (GameArt),Canada,design
9731,VFX Supervisor (Gamedev),Canada,design
9732,Platform Director (Gamedev),,management
9733,Business Development Intern (Gamedev),,management
9734,Senior Unity Developer (Gamedev),Germany,development
9735,Marketing Analyst (Fintech),US,analytics
9736,Investment Data Acquisition Analyst (Fintech),Lithuania,analytics
9737,Principal Engineer - Digital IC Design,Italy,development
9738,Ecosystem GTM Specialist (Cloud Infrastructure),France,management
9739,"Sr. Director, UX (IoT)",US,design
9740,"Sr. Director, UX (IoT)",US,design
9741,Исполнительный директор,Russia,management
9742,Director of Product (Experience Strategy),US,management
9743,Senior Scrum Master,UK,management
9744,Experiential Producer,US,marketing
9745,Community Chat Ambassador,Colombia,marketing
9746,Implementation Consultant (Fintech),Poland,management
9747,Campaign Manager,UK,marketing
9748,Campaign Executive,UK,marketing
9749,Senior Influencer Marketing Manager (Gamedev),UK,marketing
9750,"Business Analyst (System Analyst, Banking Domain)",Poland,analytics
9751,"VP of Media Buying, Planning & Campaign Management",UK,marketing
9752,"Senior Executive, Affiliates (Marketing)",UK,marketing
9753,Senior Frontend Software Engineer,Ukraine,development
9754,Information Security Analyst/Engineer,Sweden,devops
9755,Information Security Analyst/Engineer (Cloud),Armenia,devops
9756,CG Developer (Pipeline),Hungary,development
9757,Senior CG Developer (Pipeline),Hungary,development
9758,Information Security Analyst (Cybersecurity),Israel,devops
9759,Growth/Performance Marketer (Acquisition & Partnerships),Russia,marketing
9760,Переводчик (Венгерский/Азербайджанский/Грузинский/Иврит),,Other
9761,Home Healthcare Project Manager (IT),US,management
9762,Recruitment Consultant,US,management
9763,Senior Data Engineer (Java),Poland,development
9764,Deal Desk Specialist,Mexico,management
9765,Engineering Manager (AI),Lithuania,management
9766,Senior/Lead QA Automation Engineer (AI),Russia,qa
9767,Enterprise AI Architect (AI),Spain,development
9768,Senior Media Buyer (Igaming),Ukraine,marketing
9769,Embedded разработчик (Робототехника),Russia,development
9770,Customer Support Specialist,Mexico,management
9771,FinOps Operations Manager (Fintech),Russia,management
9772,Senior Solutions Engineer (Cybersecurity),SA,development
9773,Data Product Manager,UK,management
9774,Middle/Senior Facebook Media Buyer (Latam),,marketing
9775,3D Artist (Low Poly/Hand Paint),Russia,design
9776,Growth Lead (Fintech),Russia,marketing
9777,Finance Corporate Operations Manager (Fintech),UAE,management
9778,Ведущий Go-разработчик,Russia,development
9779,3D Modeler (Character/Organic),Russia,design
9780,Internship Program (Sustainability),Russia,Other
9781,Senior FinTech Engineer,Germany,development
9782,System Business Analyst (Fintech),Cyprus,analytics
9783,Merchant Onboarding & Underwriting Specialist (Fintech),,management
9784,Marketing Analyst,,analytics
9785,Head Of Information Security & IT (Igaming),UK,devops
9786,Web Developer (OutSystems),Germany,development
9787,Senior Big Data Software Engineer (GCP),Ukraine,development
9788,Planning Manager (Marketing),UK,marketing
9789,Analytics Data Engineer,US,analytics
9790,Business Development Manager (Automotive),US,management
9791,Intern Software Engineer (Embedded),Romania,development
9792,Release Manager (Software Applications),Poland,management
9793,Senior AI Engineer (AI),Poland,development
9794,Директор по складской логистике,Russia,management
9795,Редактор рубрики Бизнес,Russia,design
9796,Junior Corporate Recruiter,US,management
9797,Specialised AI Engineer (AI),UK,development
9798,Principal Machine Learning Engineer (AI),UK,development
9799,Principal Machine Learning Engineer (AI),UK,development
9800,Engineering Manager (Mobile),Portugal,management
9801,Technical Integrator (PHP),Ukraine,development
9802,Social Media Executive,UK,marketing
9803,Менеджер по развитию,Russia,management
9804,Lead Backend Developer (Elixir/Fintech),,development
9805,Head Of Field And Event Marketing (Global),UK,marketing
9806,Director Of Strategic Programs (SaaS),Netherlands,management
9807,Marketing Manager (B2B SaaS),Germany,marketing
9808,Multimedia Designer (Fintech),Cyprus,design
9809,AI Engineer (EdTech),Netherlands,development
9810,Software Engineer (Fintech),UK,development
9811,UX/UI Designer,Russia,design
9812,HRIS Senior Associate (Oracle),US,management
9813,Senior C++ Developer (VPN),,development
9814,Руководитель департамента ОЦО (FMCG),Russia,management
9815,Chief Operating Officer (Fintech),UK,management
9816,Software Engineer (SaaS),UK,development
9817,Senior Customer Success Manager (Logistics),US,management
9818,Business Development Representative (SaaS),Spain,management
9819,Junior Promo Designer (iGaming),Russia,design
9820,Senior Affiliate Manager (Tier 1 Markets),Cyprus,marketing
9821,Junior/Middle IT Recruiter (Fintech),Russia,management
9822,Руководитель по стратегии и M&A,Russia,management
9823,Senior Content Editor (Government),US,design
9824,Product Manager (CRM Marketing Solutions),US,management
9825,Продуктовый аналитик (Travel),Russia,analytics
9826,Solutions Consultant (Growth),,management
9827,Senior Product Manager (Fintech),US,management
9828,Compliance Analyst,Israel,analytics
9829,SEO-копирайтер,Russia,marketing
9830,Solutions Engineer (SaaS),Germany,development
9831,System Administrator,Ukraine,devops
9832,Project Manager,Croatia,management
9833,Senior Game Producer,Poland,management
9834,Talent Acquisition Specialist (IT),Croatia,management
9835,Credit Sales Executive (Fintech),Spain,management
9836,Field Marketing Manager (Fintech),US,marketing
9837,Fullstack Software Engineer (Cybersecurity),US,development
9838,Senior MLOps (AI),,devops
9839,Junior First Line Support Specialist,Georgia,management
9840,Embedded Software Engineering Specialist (Linux),US,development
9841,Senior AI Engineer,Ukraine,development
9842,Technical Enablement Program Manager,Serbia,management
9843,Head Of User Acquisition,Serbia,marketing
9844,Scala Tech Lead (Igaming),,development
9845,"Senior Fullstack Developer (Python, React)",,development
9846,System Administrator,,devops
9847,Редактор видеоконтента,Russia,design
9848,"Fullstack Developer (Python, React)",,development
9849,3D Programmer (Gamedev),Canada,development
9850,SMM-менеджер,Russia,marketing
9851,Стажер-менеджер по рекламе,Russia,marketing
9852,Payment Product Manager (Fintech),France,management
9853,Commercial Excellence Specialist (Gamedev),Sweden,management
9854,Senior Python Developer,Russia,development
9855,Software Development Engineer Android,Spain,development
9856,Talent Acquisition Specialist (European Markets),UK,management
9857,Менеджер по подбору персонала,Russia,management
9858,Аналитик по рискам (ПИФ/ДУ),Russia,analytics
9859,Senior Fullstack Developer (Fintech),Russia,development
9860,Junior Python Developer,Russia,development
9861,Старший специалист по кадровому делопроизводству,Russia,management
9862,Product Analyst,,analytics
9863,Дизайнер,Russia,design
9864,Ведущий системный аналитик,Russia,analytics
9865,Разработчик 1С ERP,Russia,development
9866,DevOps Engineer,Russia,devops
9867,Ведущий специалист по информационной безопасности,Russia,devops
9868,Lead Fullstack Developer (Python/React),Portugal,development
9869,Senior Data Engineer (AI),US,analytics
9870,Senior Backend Engineer (AI),France,development
9871,Frontend Engineer (React),US,development
9872,Middle UI/UX Designer,Russia,design
9873,Junior Media Buyer (Facebook Ads),Ukraine,marketing
9874,Контент-менеджер,Russia,design
9875,Customer Success Manager,Ukraine,management
9876,Руководитель отдела закупок (AI),Russia,management
9877,Senior HR Business Partner,Russia,management
9878,Sales Manager (B2B),US,management
9879,Head of Sales (B2B),,management
9880,Middle+ UX/UI Дизайнер,Russia,design
9881,Director of International Business,Russia,management
9882,Blockchain Developer (Web3),,development
9883,Руководитель направления СТМ,Russia,management
9884,Chief Financial Officer (Fintech),Russia,management
9885,Head of Sanctions & Embargoes,Russia,management
9886,Менеджер IT-проектов внедрения в Контур.Диадок Логистика,,management
9887,Фінансовий менеджер (Crypto),Russia,management
9888,Фандрайзер (НКО),Russia,management
9889,Business Development Manager (Telecom),Cyprus,management
9890,Azure VMware Solution Architect,,development
9891,Application Solution Architect (Azure),,development
9892,Growth Marketing Manager (AI Engineering),Bulgaria,marketing
9893,Senior User Acquisition Manager (Google),,marketing
9894,Business Development Manager (Software),Cyprus,management
9895,Operations Coordinator (Fintech),,management
9896,Sales Development Coordinator (Hospitality),Canada,management
9897,Bitrix Разработчик,Russia,development
9898,Middle/Senior Recruiter,,management
9899,Lead Game Designer (Gamedev),Ukraine,development
9900,Директор по МСФО,Russia,management
9901,VIP Account Manager (Marketing),US,marketing
9902,Ассистент по комментингу (Маркетинг),Russia,marketing
9903,Lead Motion Editor (VFX),UK,development
9904,Customer Program Manager (AI),US,management
9905,Head of Product (Fintech),,management
9906,Senior DevOps Engineer (AI),Russia,devops
9907,Senior Security Consultant (DevSecOps),France,devops
9908,Data Scientist (Igaming),UK,analytics
9909,React/React Native Developer,,development
9910,Motion Editor (GameDev),UK,development
9911,2D FX Animator (Gamedev),Ireland,development
9912,Junior Implementation Consultant (Fintech),Poland,management
9913,Gen-AI Producer (AI),Spain,analytics
9914,Product Marketing Manager,UK,marketing
9915,Project Director,UK,management
9916,UI/UX Designer,Ukraine,design
9917,Programmatic Executive (AdTech),UK,marketing
9918,Product Manager (AI),Israel,management
9919,Network Engineer,Serbia,development
9920,Senior Fullstack Java Developer (Insurance),Serbia,development
9921,Benefit Operations Analyst,,analytics
9922,SDET (Python),Belarus,qa
9923,Директолог (Медиа),,marketing
9924,Ведущий аналитик 1С (Oracle E-Business Suite),Russia,analytics
9925,Solution Architect (Java),Serbia,development
9926,Ведущий программист 1С,Russia,development
9927,Senior In-App Media Buyer (Gambling),Ukraine,marketing
9928,Middle Manual QA Engineer (Edtech),Ukraine,qa
9929,Data Engineer (Analytics Engineer),Ukraine,analytics
9930,Junior Affiliate Manager (iGaming),Russia,marketing
9931,Менеджер по продажам (Эзотерика),Russia,marketing
9932,Sales Development Representative (Cybersecurity),Germany,marketing
9933,Специалист службы поддержки,Russia,management
9934,Senior Legal & Compliance Manager,,management
9935,Коммерческий директор,Russia,management
9936,Менеджер по работе с проектными институтами (Прескриптор),Russia,management
9937,Retention Agent (Forex),Cyprus,marketing
9938,"Senior Director, Global Tech Partnerships",UAE,management
9939,Junior Backend Developer (AI),Portugal,development
9940,Стажер-маркетолог,Russia,marketing
9941,Procurement Operations Analyst,,analytics
9942,Senior iOS Developer,,development
9943,UI/UX Designer,Ukraine,design
9944,Finance Manager (Real Estate),Cyprus,management
9945,Content Manager,,marketing
9946,Координатор культурных проектов,Russia,marketing
9947,Configuration Specialist (Software),Spain,development
9948,UX/UI Дизайнер,Kazakhstan,design
9949,VIP Account Manager (iGaming),Cyprus,marketing
9950,Accountant/Accounting Manager (Fintech),,management
9951,"Team Lead, Customer Care (Fintech)",Austria,management
9952,QA Automation Engineer (Python),Russia,qa
9953,Редактор экспертного контента (Marketing),Russia,marketing
9954,Senior Embedded Linux Developer (Embedded Systems),Austria,development
9955,Digital Performance Lead (AI),UK,marketing
9956,Embedded Video/Streaming Architect (Embedded Systems),Austria,development
9957,Planning Executive,UK,management
9958,Head Of Customer Experience,France,management
9959,Senior System Analyst,Russia,development
9960,Java Developer (Summer Practice),Romania,development
9961,Автор текста,,marketing
9962,Summer Practice Student (Java),Romania,development
9963,Project Manager (Marketing),Russia,marketing
9964,Senior Digital Design Engineer (Automotive),UK,design
9965,Strategic Sales Account Manager (Robotics),US,marketing
9966,Director Of Product Marketing (AI),US,marketing
9967,Senior Java-разработчик,Russia,development
9968,Principal Digital Design Engineer (Automotive),France,design
9969,Commercial Director (Investment Projects),Russia,management
9970,CRM Campaign Manager (Ecommerce),Spain,marketing
9971,Системный аналитик (Kafka/REST API),Russia,development
9972,Learning and Development Business Partner (Fintech),UK,management
9973,Amazon Account Manager,UK,marketing
9974,Director Of Product Marketing (AI),,marketing
9975,Senior Fullstack Engineer (AI),,development
9976,Senior Fullstack Developer (Python),Russia,development
9977,Digital Wholesale Intern (Fashion),Netherlands,marketing
9978,Tech Lead Business Lending (Fintech),Netherlands,management
9979,Senior Frontend Engineer (React),France,development
9980,Backend Developer (Fintech),Russia,development
9981,Junior DevOps Engineer,Russia,devops
9982,Директор производства,Russia,management
9983,MarTech & Ops Lead (Iterable),US,marketing
9984,International Tax Analyst (Fintech),,analytics
9985,Channel Marketing Localization Manager,Romania,marketing
9986,Frontend Developer (Vue),Kazakhstan,development
9987,Contracts Manager (SaaS),UK,management
9988,Revenue Enablement Manager (SaaS),US,management
9989,Senior Business Value Engineer (SaaS),UK,management
9990,Tech Talent Acquisition Lead (SaaS),France,management
9991,Senior Frontend Developer (Fintech),Poland,development
9992,Gameplay AI Programmer (Gamedev),UK,development
9993,Sound Design Intern (Gamedev),Sweden,development
9994,Technical Sound Designer (Gamedev),Malaysia,development
9995,Account Executive (Semi Government),SA,marketing
9996,Associate Account Executive (Sales),Romania,marketing
9997,Senior Growth Manager (B2C),Serbia,marketing
9998,Senior React Developer,Russia,development
9999,Solution Architect,Russia,development
10000,Team Lead Business Solutions (Fintech),UK,management
10001,Sr. SLED Account Executive (Networking),US,management
10002,Cybersecurity Program Manager,US,management
10003,Middle QA Engineer (iGaming),Poland,qa
10004,Архитектор информационной безопасности,Russia,development
10005,DevOps Engineer (Data Platform),Russia,devops
10006,HR Generalist,Russia,management
10007,Commercial Manager (Cybersecurity),UK,management
10008,Middle+/Senior QA Engineer (Backend),Russia,qa
10009,Финансовый директор (CFO),Russia,management
10010,SMM-специалист,,marketing
10011,Middle Product Owner (iGaming),Belarus,management
10012,Senior 3D Motion Designer,Poland,design
10013,Staff Senior Golang Engineer (Backend),Poland,development
10014,Director Of Compliance (AI),UK,management
10015,AI Visual/Cinematic Creator,,design
10016,Account Management Executive (Fintech),SA,management
10017,Staff Senior PHP Backend Engineer (Laravel),Poland,development
10018,Senior Client Account Executive (Mid-Market),UK,management
10019,Senior Business Manager (Key Accounts),SA,management
10020,"Specialist, Product Strategy (Fintech)",UK,management
10021,Customer Relationship Manager (Sales),SA,management
10022,Коммерческий директор (Агрохолдинг),Russia,management
10023,Senior Infrastructure Planning and Cabling Engineer,Armenia,development
10024,IT Incubator Participant (AI),Kazakhstan,development
10025,Recruiter (HR),Russia,management
10026,IC Agentic Engineering Manager (AI),US,development
10027,Middle / Senior Product Analyst (Yandex Maps),Russia,analytics
10028,Стажер Менеджер Продукта (1С),Russia,management
10029,Директор департамента закупок,Russia,management
10030,Middle DevOps Engineer (AWS),Poland,devops
10031,Senior Data Engineer (GCP),Poland,analytics
10032,Senior Fullstack Developer (PHP),Poland,development
10033,Technical Interviewer (Business/System Analyst),Kazakhstan,management
10034,3D Character Artist,,design
10035,UI/UX Lead (Gamedev),,design
10036,Project Manager (Bitrix24),Russia,management
10037,Senior Data Engineer (Databricks),Serbia,analytics
10038,Sales Development Coordinator (Fintech),UK,marketing
10039,Backend Developer (Scala),Russia,development
10040,Старший менеджер по развитию рекламных агентств,Russia,management
10041,Контент-менеджер / SMM,,marketing
10042,Директор по стратегическому маркетингу,Russia,marketing
10043,Senior Data Analyst,Russia,analytics
10044,UI/UX & AI Designer,,design
10045,Senior .NET Backend Developer,Russia,development
10046,Marketing Project Manager,,marketing
10047,Программист микроконтроллеров,Russia,development
10048,3D Motion Designer (Unreal Engine),,design
10049,Системный аналитик (1С-Битрикс),Russia,
10050,SMM-специалист,Russia,marketing
10051,"Frontend Engineer (React, TypeScript)",,development
10052,Delivery Manager (Gamedev),,management
10053,Content Manager (iGaming),Europe,marketing
10054,Структуратор ВЭД (Банк ДОМ.РФ),Russia,management
10055,Веб-дизайнер,Russia,design
10056,ML Engineer (MLOps/Azure),,development
10057,SMM-специалист,Russia,marketing
10058,Product Manager (Adult/AI),,management
10059,Руководитель направления по работе с поставщиками (авиа),Russia,management
10060,Computer Science Expert (AI),,development
10061,Devops Engineer (Igaming),Poland,devops
10062,Sales Development Representative (SDR),Spain,marketing
10063,"Data Scientist, Ai & MLOps (Igaming)",UK,analytics
10064,Data Scientist (AI),UK,analytics
10065,Senior Production Engineer (AWS),US,devops
10066,Account Manager (AdTech),SK,marketing
10067,Procurement Specialist,Ukraine,management
10068,Product Manager B2C (Fintech),,management
10069,Senior DevOps Engineer,Poland,devops
10070,Product Manager B2B (Fintech),,management
10071,SMM Менеджер,Russia,marketing
10072,Business Development Manager (iGaming),,marketing
10073,"Senior Manager, Solution Engineering (SaaS)",France,management
10074,CRO Manager,,analytics
10075,CRM Manager (iGaming / Retention),,analytics
10076,Middle UI/UX Дизайнер,Russia,design
10077,CFO (Finance),Russia,management
10078,2D Pixel Animator,,design
10079,Software Engineer II (C++),Taiwan,development
10080,Forward Deployed Engineer (AI),Japan,development
10081,Copywriter (CRM/Email),,marketing
10082,Senior Cloud Engineer (Cybersecurity),Israel,devops
10083,Director – Public Relations,UAE,marketing
10084,Digital Human Artist (Gamedev),UK,design
10085,VIP Manager (iGaming),,management
10086,Game Developer (Gamedev),Serbia,development
10087,Marketing Manager (Fintech),UK,marketing
10088,UI/UX Designer,Russia,design
10089,Midweight Designer (Medtech),UK,design
10090,Sales Manager (iGaming),Europe,marketing
10091,Recruiting Operations Specialist,US,management
10092,Incentives & Marketing Operations Specialist,Poland,marketing
10093,Staff Fullstack Software Engineer (Java),Brazil,development
10094,DevOps CI Engineer,Sweden,devops
10095,Engineering Manager (Restaurant Experience),Italy,management
10096,Senior Frontend Engineer (Angular),Israel,development
10097,Заместитель руководителя направления ПОД/ФТ (AML),Russia,management
10098,Senior LLM Engineer (ASR/TTS),Russia,development
10099,Senior Frontend Developer (Angular),Finland,development
10100,Руководитель проектов 1С (ЗУП КОРП),Russia,management
10101,Комьюнити-менеджер / Лидогенератор,Russia,marketing
10102,Бренд-арт-директор (Яндекс),Russia,design
10103,Senior DevOps Engineer (AWS/Kubernetes),Russia,devops
10104,Summer Intern (Operations),US,management
10105,Менеджер отдела продаж (EdTech),Russia,management
10106,Strategy & Business Development Manager,Sweden,management
10107,Customer Support Representative (EdTech),Ukraine,management
10108,Junior Graphic Designer,Belarus,design
10109,Lead Designer (Unannounced Project),Poland,design
10110,SMM-менеджер (Telegram),Russia,marketing
10111,SMM-менеджер (Контент-креатор),Russia,marketing
10112,Azure DevOps Engineer (Digital Media),Australia,devops
10113,Sales Director (Cybersecurity),UK,management
10114,Python-Разработчик,Russia,development
10115,Middle+ Go Developer,,development
10116,Senior Fullstack Developer (Python/Vue),Russia,development
10117,Product Manager (AI),Poland,management
10118,QA Engineer (Fintech),,qa
10119,Product & Sales Training Lead (EdTech),Poland,management
10120,Project Manager,Portugal,management
10121,Business Analyst,Ukraine,management
10122,Operations Manager,Finland,management
10123,Senior DevOps Engineer (IoT),Canada,devops
10124,Operations and Supply Partners Manager,Finland,management
10125,Content Creator Intern,Denmark,marketing
10126,Social Media Executive (Gamedev),UK,marketing
10127,Graphic Designer (Gamedev),UK,design
10128,Sales and Business Development Intern,Denmark,marketing
10129,Affiliate Manager (Crypto),,marketing
10130,Fullstack Python Engineer (AI),Bulgaria,development
10131,Senior Key Account Executive (SaaS),Croatia,management
10132,Business Development Manager (SaaS),,management
10133,HR Solutions Consultant,Croatia,management
10134,Support Manager,,management
10135,IT Process and Application Consultant,Portugal,management
10136,Mendix Developer (Team Lead),Malaysia,development
10137,HR Director (iGaming),,management
10138,Pricing Analyst (Robotics),Germany,analytics
10139,Lead Backend Engineer (Python),UK,development
10140,Payment Consultant (Fintech),UK,management
10141,Senior Software Engineer (Golang),UK,development
10142,Веб-разработчик (Igaming),,development
10143,HR Specialist (Eastern Europe),Poland,management
10144,Fraud And Disputes Manager (Fintech),UK,management
10145,Engineering Manager - Frontend,UK,management
10146,Junior Data Engineer (Databricks),Poland,analytics
10147,Marketing Campaign Analyst (iGaming),Cyprus,analytics
10148,Business Systems Analyst,,management
10149,CTO (SaaS),Russia,management
10150,Staff Backend Engineer (AI Platform),France,development
10151,Системный администратор,Russia,devops
10152,Director of Total Rewards,UK,management
10153,Enterprise Account Manager (Gaming),Poland,management
10154,Engineering Director,UK,management
10155,Middle Python Developer,Russia,development
10156,Специальный корреспондент,Russia,other
10157,Технический архитектор 1С,Russia,development
10158,Креатор,,other
10159,Ведущий образовательных программ,Russia,management
10160,Функциональный архитектор 1С (MDM),Russia,management
10161,Business Development Manager (Fintech),Ukraine,management
10162,Talent Partner (AI),US,management
10163,Talent Partner (AI),UK,management
10164,Senior Software Engineer (Fintech),UK,development
10165,Account Development Manager,,management
10166,Lead SOC Analyst (Cybersecurity),,devops
10167,Golang Developer,Russia,development
10168,Enterprise Account Executive (SaaS),Sweden,management
10169,Senior Security Auditor (Web3/DeFi),Russia,management
10170,Experienced Rust/C Developer (IoT),Sweden,development
10171,Head of User Acquisition (AI),,marketing
10172,Писатель-редактор,,other
10173,Game Designer (Game Design),UK,development
10174,Веб-дизайнер,Russia,design
10175,Staff Product Engineer (AI),UK,management
10176,Engineering Lead (SaaS),UK,management
10177,Prompt Engineer (AI),UK,development
10178,"Senior Manager, Publishing (Gamedev)",Germany,management
10179,Marketing Partner (AI),Russia,marketing
10180,Product Manager (IoT/Hardware),Russia,management
10181,Head Of Credit Risk (Fintech),France,management
10182,AI/LLM Engineer,,development
10183,"Team Lead Fullstack (React, Node.js)",Poland,development
10184,Senior GCP Data Engineer,,analytics
10185,"Senior Fullstack Developer (Java, React)",Poland,development
10186,Shopify Developer (Shopify Plus),Poland,development
10187,Photonics Research Intern,SA,other
10188,Senior Data Scientist (AI),Singapore,analytics
10189,Growth Specialist (Web3),,marketing
10190,Technical Product Manager (Compliance),Thailand,management
10191,Разработчик DWH (ClickHouse/Greenplum),Russia,development
10192,Engineering Manager (DevOps),Thailand,management
10193,Quantitative Developer (Fintech),,analytics
10194,Merchant Operations Lead (Fintech),Cyprus,management
10195,Контент-менеджер,Russia,marketing
10196,Senior Motion Designer,Portugal,design
10197,Social Media Content Specialist (Fintech),SA,marketing
10198,Revenue Operations Manager (Fintech),SA,management
10199,Head Of AMLCO & Compliance (Fintech),Cyprus,management
10200,Solutions Architect (FSI),Germany,development
10201,Account Executive (SaaS),UK,marketing
10202,Software Architect (iGaming),Malta,development
10203,Analytics Engineer (Gamedev),,analytics
10204,Специалист по кадровому делопроизводству,Russia,other
10205,Senior Frontend QA Engineer,,qa
10206,Senior Mobile QA Engineer,,qa
10207,Data Analyst (Fintech),Peru,analytics
10208,Senior Fullstack Developer (Python/React),Georgia,development
10209,People Advisory Specialist,Montenegro,management
10210,Senior Graphic Designer,,design
10211,Chief Technology Officer (CTO),,management
10212,Creative Producer UGC Lead (TikTok/Snap),,design
10213,Creative Producer UGC Lead (TikTok/Snap),,design
10214,Senior Bioinformatician (Biotech),UK,development
10215,SMM Manager (AI),Russia,marketing
10216,Team Lead Unity Developer,,design
10217,Senior Frontend Engineer (Web3),,development
10218,Lead 2D Animator (Slot Games),,design
10219,Data Engineer,Russia,development
10220,Ведущий программист 1С,Russia,development
10221,IT Project Manager (Fintech),Russia,management
10222,Менеджер по спонсорству,Russia,marketing
10223,Data Scientist (Subscriptions),,analytics
10224,Junior Manual QA Engineer,,qa
10225,Technical Recruiter,Serbia,management
10226,Product Analyst,,analytics
10227,2D Animator,,design
10228,Corporate Lawyer (iGaming),Cyprus,other
10229,HR Business Partner,,management
10230,SMM-менеджер,Russia,marketing
10231,DevOps/Database Engineer,Russia,devops
10232,Видеомонтажёр (Reels/Shorts),,design
10233,Data Scientist (RecSys),Russia,analytics
10234,Финансовый бизнес-партнер,Russia,management
10235,Контент-менеджер (Telegram),,marketing
10236,Java Developer (DevOps),Russia,development
10237,Главный бухгалтер,Belarus,other
10238,ServiceNow Developer,Austria,development
10239,Архитектор 1С,Russia,development
10240,Senior Backend Developer (PHP/Symfony),,development
10241,Enterprise Account Executive (Cybersecurity),UK,marketing
10242,Motion Designer,,design
10243,Grc Analyst (Cybersecurity),UK,management
10244,Service Designer & Business Analyst,UK,management
10245,Head of Client Onboarding,UK,management
10246,Data Analyst (Training Program),,analytics
10247,Compliance Officer & MLRO (Virtual Assets),UAE,management
10248,Chief Product Officer (Fintech),UAE,management
10249,Unity Video Generalist,,design
10250,Middle DevOps Engineer,Russia,devops
10251,Senior UI/UX Artist (Gamedev),Germany,design
10252,Analog Senior Layout Engineer (Semiconductor),Vietnam,development
10253,Senior Product Owner (SaaS),Israel,management
10254,Chief Technology Officer (AI),Cyprus,management
10255,Senior Java Backend Developer (Microservices),,development
10256,Cybersecurity Engineer (Robotics),Japan,development
10257,Senior Frontend Developer (Web3),Estonia,development
10258,Senior System Analyst (Fintech),Russia,management
10259,Специалист пресс-службы,Russia,other
10260,React Native Mobile Developer,,development
10261,Frontend Developer (Angular),Poland,development
10262,Partner Manager (E-commerce),France,marketing
10263,IT Recruiter,,management
10264,Oracle Fusion HCM Technical Consultant,,development
10265,Customer Management Analyst (Fintech),Serbia,analytics
10266,Архитектор,Russia,development
10267,Director Partner Success (Resell),UK,management
10268,Fullstack Developer (.NET/Angular),Belarus,development
10269,Partner Success Manager,UK,management
10270,Head of Compliance (Fintech),UAE,management
10271,Sales Enablement Manager (AI),UK,marketing
10272,Маркетолог по работе с блогерами,,marketing
10273,Client Delivery Lead,Estonia,management
10274,Аналитик 1С ERP (Производство),Russia,analytics
10275,Head of Project Management (Fintech),Lithuania,management
10276,Системный аналитик (1C/MES),Russia,development
10277,Summer Intern (Autonomous Vehicles/AI/Strategy),Sweden,other
10278,Head of Affiliates (iGaming),Cyprus,marketing
10279,Senior JavaScript Developer (Fintech),Belarus,development
10280,Paid Ads Specialist (Meta),Ukraine,marketing
10281,Product Engineer (AI-Native Fullstack) (EdTech),Ukraine,development
10282,DevOps Engineer (Junior+/Middle),Russia,devops
10283,C#/.NET Developer,Russia,development
10284,Lead HR Business Partner,Russia,management
10285,Head Of Marketing,UK,marketing
10286,Middle/Senior QA Automation Engineer (Typescript),Belarus,qa
10287,Junior+ QA Engineer,Russia,qa
10288,Новостной редактор,Russia,other
